SYMBOL,R1,R2,R3,R4,R5,R6
Snapc4,1136,1728,1398,803,1550,737
Snapc5,639,612,468,438,812,599
Snapin,1737,1783,1636,1198,1424,1306
Snca,0,0,0,0,0,0
Sncaip,85,71,225,126,192,76
Sncb,0,0,0,0,0,0
Sncg,4434,2497,2615,655,903,688
Snd1,1382,1260,1409,2855,2618,2589
Sned1,199,697,796,504,712,417
Snf8,830,1046,972,774,771,741
Snhg11,65,153,193,115,194,132
Snip1,567,526,535,482,634,610
Snn,1117,623,706,689,826,605
Snorc,62,0,44,7,0,2
Snph,0,0,8,8,4,0
Snrk,1728,1984,2282,2803,3811,4601
Snrnp200,3822,4858,4823,5591,5702,5872
Snrnp25,263,124,91,144,156,219
Snrnp27,797,652,685,673,685,631
Snrnp35,207,112,230,186,168,227
Snrnp40,484,494,574,430,653,496
Snrnp48,1417,2245,2316,1679,1912,1677
Snrnp70,7988,11089,11455,7849,12578,8056
Snrp1c-ps1,0,0,0,0,0,0
Snrp1c-ps2,0,0,0,0,0,0
Snrpa,915,1145,945,1325,1685,1433
Snrpa1,473,783,681,914,982,735
Snrpb,3605,3382,3760,4287,4593,4596
Snrpb2,858,1074,800,902,1020,964
Snrpc,960,821,1200,955,1096,862
Snrpd1,778,619,765,869,851,739
Snrpd2,1718,1329,1607,1700,2171,1674
Snrpd3,1618,1565,1685,1866,2342,1996
Snrpe,1245,847,1249,1298,1347,1153
Snrpert,0,0,0,0,0,0
Snrpf,1720,1242,1461,1536,1687,1957
Snrpg,1079,662,931,1233,1387,1259
Snrpn,365,214,502,361,380,346
Snta1,498,555,549,446,669,535
Sntb1,1496,1982,2324,1902,1858,1776
Sntb2,1440,2578,2410,2417,2750,2363
Sntg1,0,7,3,6,14,3
Sntg2,0,0,0,0,0,0
Sntn,0,0,0,0,0,0
Snu13,1727,1421,1440,1686,1849,1779
Snupn,137,182,192,135,171,178
Snurf,0,0,0,8,22,0
Snw1,2312,2294,2456,2236,2252,2140
Snx1,2623,2169,2227,2785,2995,2417
Snx10,465,414,650,822,902,774
Snx11,611,1106,1045,610,1073,866
Snx12,976,807,1036,1249,1094,1095
Snx13,1335,1488,1339,1332,1395,1162
Snx14,94,38,111,17,210,62
Snx15,738,533,543,534,563,405
Snx16,443,569,501,373,392,437
Snx17,1916,1737,2242,1926,2161,1843
Snx18,1108,1456,1976,1539,2089,1655
Snx19,874,776,998,862,909,860
Snx2,2459,2299,3021,2543,2492,1811
Snx20,64,137,56,8,46,33
Snx21,896,946,1323,716,727,706
Snx22,72,46,35,3,61,8
Snx24,62,9,21,22,44,52
Snx25,375,218,191,431,343,377
Snx27,3449,3953,4284,2640,3615,2927
Snx29,145,292,404,324,281,163
Snx3,1583,1649,2014,1778,1520,1680
Snx30,581,896,571,484,438,389
Snx31,0,0,0,0,0,0
Snx32,139,213,194,102,152,94
Snx33,590,792,815,683,802,885
Snx4,1279,1635,1666,1547,2343,1548
Snx5,1944,1744,1582,2363,2327,2217
Snx6,1993,1881,1778,2126,2059,2214
Snx7,1700,1460,1508,1324,1432,1368
Snx8,25,205,95,137,127,304
Snx9,1516,1377,1463,1407,1499,1542
Soat1,196,1748,680,137,172,124
Soat2,0,34,53,10,2,11
Sobp,14,83,35,37,47,0
Socs1,808,333,614,664,326,723
Socs2,130,159,147,76,120,172
Socs3,20501,16251,15823,9487,6913,7878
Socs4,1262,1654,1384,1201,1589,1211
Socs5,1213,856,1312,1291,1535,1456
Socs6,1160,1647,1718,1124,1509,1044
Socs7,0,0,0,20,6,10
Sod1,4036,3102,4323,3298,3658,3230
Sod2,978,1128,1070,1339,1499,1275
Sod3,133,0,0,103,16,29
Soga1,583,1191,1129,947,1038,1225
Soga3,0,14,0,0,0,0
Sohlh1,0,0,0,0,0,0
Sohlh2,0,0,0,0,0,0
Son,12633,18138,19713,15310,16944,14562
Sorbs1,293,158,50,109,175,98
Sorbs2,16,25,75,10,90,14
Sorbs3,1192,1071,1327,938,1228,1050
Sorcs1,0,1,0,0,14,0
Sorcs2,731,886,1623,1552,1123,1041
Sorcs3,72,23,228,7,58,40
Sord,1334,1243,1524,1468,1413,1177
Sorl1,2735,3494,3488,4250,4001,5155
Sort1,802,1403,1893,959,1002,1028
Sos1,1142,1240,1227,1341,1416,1470
Sos2,1806,1934,2308,2020,1986,2246
Sost,0,0,0,10,0,0
Sostdc1,13456,17950,17610,6754,9844,5718
Sowaha,0,4,0,1,0,0
Sowahb,0,116,37,99,60,89
Sowahc,2309,1449,1726,1049,996,1098
Sowahd,0,0,0,0,0,0
Sox1,0,0,0,1,14,10
Sox10,0,8,38,0,35,8
Sox11,38,1,15,17,2,28
Sox12,452,679,877,392,737,529
Sox13,610,846,676,755,573,566
Sox14,0,0,0,0,0,0
Sox15,31,37,46,60,28,22
Sox17,0,0,0,0,0,0
Sox18,24,0,0,0,0,8
Sox2,0,18,2,0,3,0
Sox21,978,681,1267,2158,1365,1837
Sox3,0,0,0,5,0,0
Sox30,0,5,26,3,16,14
Sox4,793,789,1449,1492,996,1116
Sox5,33,59,36,55,56,62
Sox6,62,78,76,16,29,34
Sox7,14,29,88,206,258,265
Sox8,8,28,28,32,10,13
Sox9,13723,12004,15914,16381,10060,12882
Sp1,4085,4641,5168,4334,4427,4227
Sp100,95,37,47,106,91,134
Sp110,0,18,1,2,9,2
Sp140,0,0,13,11,18,0
Sp2,507,828,906,602,868,660
Sp3,4266,5077,5658,4791,4675,4505
Sp4,837,734,824,460,345,414
Sp5,0,0,0,10,11,0
Sp6,85,31,58,88,128,181
Sp7,12,0,1,3,0,0
Sp8,0,0,1,0,2,0
Sp9,0,0,0,9,11,0
Spa17,80,25,9,43,48,42
Spaar,13,12,1,18,25,11
Spaca1,11,0,0,6,34,7
Spaca3,0,0,0,0,0,0
Spaca4,0,20,0,0,0,0
Spaca5,23,13,0,0,0,0
Spaca6,669,1112,1124,505,1261,639
Spaca7,0,0,0,0,0,0
Spaca9,0,0,0,0,0,5
Spag1,120,234,199,228,254,200
Spag11a,0,0,0,0,0,0
Spag11b,0,0,0,0,0,0
Spag16,0,0,0,0,0,1
Spag17,0,0,0,0,2,0
Spag4,62,40,27,5,21,19
Spag5,16,68,59,319,445,242
Spag6,0,0,11,0,4,0
Spag6l,0,0,0,1,1,0
Spag7,1231,1267,1166,1294,1352,1244
Spag8,49,0,0,0,0,4
Spag9,4413,5490,6572,6004,5392,5307
Spam1,0,0,0,0,0,0
Spanxn4,0,0,0,0,0,0
Sparc,11593,12581,13975,14872,16355,12618
Sparcl1,21,304,50,221,156,60
Spast,1139,1618,1529,1066,1386,1214
Spata1,239,170,140,97,193,153
Spata13,0,50,35,10,14,18
Spata16,0,0,0,2,0,0
Spata17,0,16,9,8,0,0
Spata18,0,0,0,0,0,0
Spata19,1,0,0,0,2,0
Spata2,639,873,1019,763,1128,883
Spata20,28,7,24,2,7,0
Spata21,0,0,0,0,0,0
Spata22,0,0,0,0,0,0
Spata24,31,94,80,86,153,63
SPATA24,0,0,0,0,0,0
Spata25,0,0,26,0,10,0
Spata2l,199,341,268,171,220,228
Spata3,0,23,0,0,0,0
Spata31,0,0,0,0,0,0
Spata31d1a,0,0,2,0,5,8
Spata31d1b,0,0,0,0,0,0
Spata31d1c,0,0,0,0,0,0
Spata31d1d,0,0,0,0,0,0
Spata32,0,0,0,4,2,12
Spata33,155,90,22,75,95,56
Spata4,0,0,0,0,0,0
Spata45,0,0,0,7,22,0
Spata46,27,48,65,6,24,18
Spata48,15,4,0,1,0,0
Spata5,351,458,428,572,436,581
Spata6,615,1012,525,580,520,452
Spata7,130,240,359,145,151,94
Spata9,0,0,0,0,7,0
Spatc1,0,0,0,5,0,0
Spatc1l,0,0,0,1,17,0
Spats1,314,145,130,156,187,134
Spats2,771,696,1078,954,937,759
Spats2l,1527,1301,1536,1821,2242,2007
Spc24,71,85,1,360,261,250
Spc25,91,25,15,191,169,142
Spcs1,1897,1500,1657,1757,2047,1754
Spcs2,2066,1543,1816,2022,2166,2076
Spcs2-ps,0,0,0,0,0,0
Spcs3,1872,1673,1789,1827,1948,1570
Spdef,0,0,0,0,0,0
Spdl1,41,127,47,210,184,143
Spdya,17,130,107,74,84,79
Spdye4a,0,0,0,0,0,0
Spdye4b,0,0,0,0,0,0
Spdye4c,0,0,0,0,0,0
Specc1,515,712,510,829,1030,1116
Specc1l,3366,3617,3986,3082,3257,3764
Speer1,0,0,0,0,0,0
Speer2,0,0,0,0,0,0
Speer3,0,0,0,0,0,0
Speer4a,0,0,0,0,0,0
Speer4b,0,0,0,0,0,0
Speer4c,0,0,0,0,0,0
Speer4d,0,0,0,0,0,0
Speer4e,0,0,0,0,0,0
Speer4f1,0,0,0,0,0,0
Speer4f2,0,0,0,0,0,0
Speer5-ps1,70,54,91,28,20,22
Speer6-ps1,0,4,0,14,14,35
Spef1,657,514,691,549,679,527
Spef2,0,0,0,0,8,0
Speg,255,79,237,301,263,307
Spem1,0,8,49,9,26,54
Spem2,0,23,0,0,15,0
Spen,2087,3087,3801,2086,2939,3241
Spert,0,0,0,0,0,0
Spesp1,0,0,0,0,0,0
Spg11,1928,2452,2497,1823,1990,1864
Spg20,1742,1861,2387,1395,1619,1560
Spg21,1965,2346,2222,1969,2197,2091
Spg7,1664,1661,1816,1621,2049,1482
Sphk1,303,194,83,188,180,70
Sphk2,1601,1470,1441,1017,1589,1426
Sphkap,76,18,117,39,17,29
Spi1,60,81,120,15,52,77
Spib,22,0,0,72,72,59
Spic,0,0,0,0,0,0
Spice1,398,665,772,657,563,521
Spidr,704,489,501,693,776,787
Spin1,2465,2887,2698,3058,3431,3132
Spin2-ps1,0,0,0,0,0,0
Spin2-ps2,0,0,0,0,0,0
Spin2-ps3,0,0,0,0,0,0
Spin2-ps4,0,0,0,0,0,0
Spin2c,63,77,37,30,86,55
Spin2d,0,0,0,0,0,0
Spin2e,0,0,0,0,0,0
Spin2f,0,0,0,0,0,0
Spin2g,0,0,0,0,0,0
Spin3-ps,0,0,0,0,0,0
Spin4,19,236,167,131,134,159
Spindoc,1256,719,1196,1080,1066,1107
Spink1,0,0,0,0,0,0
Spink10,21,39,48,3,33,5
Spink11,0,0,0,0,0,0
Spink13,0,0,0,0,0,0
Spink14,0,0,0,7,1,10
Spink2,101,0,50,78,82,89
Spink4,0,0,0,0,2,8
Spink5,4237,3499,3285,2698,2091,2504
